title,price,rating,reviews,availability
"iClever Kids Headphones for School Travel, Safe Volume Limited, HD Mic Stereo Sound Over-Ear Girls Boys Headphones for Kid, FunShare Foldable 3.5mm Wired for iPad Computer, HS19",$8.98,4.6,"9,912 ratings",In Stock
"SHOKZ New OpenRun Pro 2 - Open-Ear, Bone Conduction Sport Headphones - with Reflective Strip - Sweat Resistant, Workout Headphones - Secure, Wireless, Comfortable Fit-Deep Bass and Smart Mic App",$179.95,4.4,"2,529 ratings",In Stock
"Beats Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Black",$174.99,4.4,"93,986 ratings",In Stock
"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Rose Gold)",$19.99,4.4,"82,077 ratings",In Stock
Sony MDR7506 Professional Large Diaphragm Headphone,$98.00,4.7,"26,554 ratings",In Stock
"Apple AirPods Max Wireless Over-Ear Headphones, Pro-Level Active Noise Cancellation, Transparency Mode, Personalized Spatial Audio, USB-C Charging, Bluetooth Headphones for iPhone - Midnight",$499.99,4.4,386 ratings,In Stock
"SHOKZ OpenMove - Open-Ear Bluetooth Sport Headphones, Bone Conduction Wireless Earphones, Sweatproof for Running and Workouts, with Sticker Pack, Grey",$79.95,4.4,"19,547 ratings",In Stock
"10 Pack Bulk Wired Headphones, On Ear with 3.5mm Jack, 4ft Tangle Free Cable, Comfortable Fit, Affordable and Cost Effective, Ideal for School Classroom Testing Students Events Groups, Mix",$19.49,4.2,579 ratings,In Stock
"Sony MDREX15AP In-Ear Earbud Headphones with Mic, Black (MDREX15AP/B)",$9.99,4.3,"35,643 ratings",In Stock
"TOZO E2 Wireless Earbuds 10mm Drivers with Powerful Bass, App Customize 32 EQs, with 2 Mics AI Call Noise Cancellation, 30H Playtime, Bluetooth 5.3 Ear Buds, Comfort Fit in-Ear Headphones",$9.99,4.6,952 ratings,In Stock
"TOZO E1 Wireless Earbuds Build in Mic Clear Calls Ergonomic Light Weight Bluetooth 5.3 in Ear Headphones IPX6 Waterproof Premium Stereo Sound Ear Buds 30H Playtime with 32 EQs via APP, Black",$13.99,4.7,617 ratings,In Stock
"TOZO OpenEgo True Wireless Open Ear Headphone, 5.3 Bluetooth Sport Earbuds with Earhooks for 80H Playback with Digital Display, 32 EQ Modes Dual Mic Clear Call Sweat-Proof for Running Workout Black",$29.99,4.3,"2,987 ratings",In Stock
"Classroom Headphones Bulk 5 Pack, Student On Ear Color Varieties, Comfy Swivel Earphones for Library, School, Airplane, Kids, for Online Learning and Travel, Noise Stereo Sound 3.5mm Jack (Black)",$37.97,4.5,"2,996 ratings",In Stock
"AILIHEN Headphones Bulk for Classroom 10 Pack - Kids Wired Headphones for School Students, Over-Ear Headsets with Microphone HD Stereo Sound 3.5mm Jack for Library, Online Learning (Muiticolor)",$78.99,4.7,30 ratings,In Stock
"soundcore Life Q30 by Anker, Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 50H Playtime, Comfortable Fit, Bluetooth, Multipoint Connection",$79.99,4.4,"82,209 ratings",In Stock
"AILIHEN C8 Headphones Wired, On-Ear Headphones with Microphone and Volume Control Foldable Corded Stereo 3.5mm Headset for Smartphones Chromebook Laptop Computer PC Tablets Travel(Black/Blue)",$13.99,4.4,"32,552 ratings",In Stock
"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Black",$44.25,4.3,"55,820 ratings",In Stock
"Classroom Headphones Bulk 5 Pack, Student On Ear Color Varieties, Comfy Swivel Earphones for Library, School, Airplane, Kids, for Online Learning and Travel, Noise Stereo Sound 3.5mm Jack (Black)",$37.97,4.5,"2,996 ratings",In Stock
"Kids Headphones for School - 5-Pack On-Ear, Wired, Adjustable & Cushioned - Mixed Colors",$31.32,4.4,"1,635 ratings",In Stock
"Premium Classroom Headphone with Microphone (5 Pack) - Kids Wired Earphones with Mic for School Students K-12 & Teachers, Soft Swivel On Ear Pads- Perfect for E-Learning, Meetings, Calls -(Colorful)",$37.97,4.5,"1,145 ratings",In Stock
"Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Workout/Running",$23.99,4.4,"13,959 ratings",In Stock
"Classroom Headphones-Bulk 10-Pack, Student On Ear Comfy Swivel Earphones for Library, School, Airplane, Kids-for Online Learning and Travel, HQ Stereo Sound 3.5mm Jack (Black with Microphone)",$79.97,4.3,272 ratings,In Stock
"Belkin SoundForm Isolate Bluetooth Over-Ear Headphones - Hybrid Active Noise Cancelling Headphones - Wireless w/ 60H Playtime, Fast Charging & CloudCushion Ear Cups for Travel, Home, or Office - Black",$59.99,4.2,60 ratings,In Stock
"Belkin SoundForm Isolate Bluetooth Over-Ear Headphones - Hybrid Active Noise Cancelling Headphones - Wireless w/ 60H Playtime, Fast Charging & CloudCushion Ear Cups for Travel, Home, or Office - Sand",$59.99,4.2,70 ratings,In Stock
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Black",$99.95,4.2,"83,582 ratings",In Stock
"Soundcore by Anker Life U2i Wireless Neckband Headphones, 10mm Drivers with BassUp Technology, 24H Playtime, AI-Enhanced Calls, Foldable and Lightweight, IPX5 Water-Resistant, Secure Fit, Bluetooth 5",$22.70,4.0,820 ratings,In Stock
USB C Headphone for Samsung S23 FE S22 S21 S20 A53 A54 Wired Earbuds Magnetic in-Ear Type C Earphone with Microphone Volume Control Bass Stereo Noise Canceling for iPhone 15 Pro Max Pixel 6 6a 7a 8 5,$13.59,4.3,"7,320 ratings",In Stock
bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black,$39.99,4.3,"56,559 ratings",In Stock
"Active Noise Cancelling Headphones, 100H Playtime Headphones Wireless Bluetooth, Bluetooth Headphone with Mic, Over Ear Wireless Headphone with Deep Bass,Fast Charging for Travel (Midnight)",$12.34,4.3,"1,991 ratings",In Stock
"Kids Headphones for School - 5-Pack On-Ear, Wired, Adjustable & Cushioned - Mixed Colors",$31.32,4.4,"1,635 ratings",In Stock
30 Pack Class Set Headphones for Kids Students School Classroom Headphones Bulk Earphones Adjustable with 3.5 mm Jack for Library Children Adults (Black Color),$40.99,4.1,67 ratings,Only 3 left in stock - order soon.
"kurdene Wireless Earbuds Bluetooth 5.3 in Ear Buds Light Weight Headphones,Deep Bass Sound,Built in Mics Headset,Clear Calls Earphones for Sports Workout",$9.99,4.2,"62,219 ratings",In Stock
"Panasonic ErgoFit Wired Earbuds, 3.5mm Jack In-Ear Headphones Wired with Dynamic Crystal-Clear Sound and Ultra Soft Ergonomic Custom-Fit Earpieces (S/M/L), for Phones and Laptops - RP-HJE120-K (Black)",$8.99,4.3,"141,309 ratings",In Stock
"soundcore Sport X20 by Anker, True-Wireless Workout Earbuds, Rotatable and Extendable Ear Hooks, Noise Cancelling, Deep Bass, IP68 Waterproof, Sweatproof, Dustproof, 48H Play, Sport Earbuds for Gym",$79.99,4.3,"4,897 ratings",In Stock
"Skullcandy Jib In-Ear Wired Earbuds, Noise Isolating, Microphone, Works with Bluetooth Devices and Computers - Cobalt Blue",$7.41,4.4,"15,301 ratings",In Stock
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Silver WH1000XM4",$348.00,4.6,"59,649 ratings",In Stock
"SHOKZ OpenRun Mini (AfterShokz Aeropex Mini) -Bone Conduction Open-Ear Bluetooth Sport Headphones - Waterproof Wireless Earphones for Workouts and Running - Built-in Mic, with Headband",$129.95,4.6,"32,952 ratings",In Stock
"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode (White)",$49.99,4.5,"27,764 ratings",In Stock
"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization (White)",$19.99,4.4,"57,461 ratings",In Stock
"AILIHEN Kids Headphones Bulk 10-Pack for K-12 School Classroom, On-Ear Wired Headset with Microphone for Students Children with 93dB Volume Limited, 3.5mm Jack for Chromebooks Tablets Laptop Computer",$78.84,4.5,960 ratings,In Stock
"Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Workout/Running",$23.99,4.4,"13,959 ratings",In Stock
